place_id,historical_name,county_id,modern_place,modern_uncertain
209,Bersthanowcz cum pertinentiis,1,,
210,Bersthianoucz,1,,
211,Berywoy (Zenth Iwan?),1,,
212,Berywoy-oppidum (Zenth Iwan?),1,,
213,Berywoy-provincia (Zenth Iwan?),1,,
214,"Beryzlaucz, Kalynye",4,,
215,Beryzlawcz,4,BERISLAVEC,1
216,Beryzlawecz,4,BERISLAVEC,1
217,Beryzlowcz,4,BERISLAVEC,1
218,Berzewcz-provincia inferior,1,,
219,Berzewcze,1,,
220,Berzewcze-provincia inferior,1,,
221,Berzyncz,1,,
222,Besenowcz,1,,
223,Bethowcz,3,,
224,Bezchyanowcz,1,,
225,Bigzaagh,4,,1
226,Bikzaad,4,,1
227,Biskupovcz,2,VARAŽDIN,
228,Biskwpcz,4,BIŠKUPEC,
229,Bizthra,4,BISTRA,
230,Biztra,4,BISTRA,
231,Blacha,1,,
232,Blagay,1,,
233,"Blagay, Glogowy",1,,
234,Blagswa,4,BLAGUŠA,
235,Blagussa,4,BLAGUŠA,
236,Blagwsa,4,BLAGUŠA,
237,Blagwssa,4,BLAGUŠA,
238,"Blagwssa, Symonchewcz",4,"BLAGUŠA, ŠIMUNČEVEC",
239,"Blagwssa, Symonczewcz",4,"BLAGUŠA, ŠIMUNČEVEC",
240,"Blagwssa, Symwnchowcz",4,"BLAGUŠA, ŠIMUNČEVEC",
241,Blasew Werh,1,,
242,Blasewerh-ad Achyna,1,,
243,Blasewwerh-ad Achynam,1,,
244,"Blaskoucz, Glavnycza",4,,
245,"Blaskowcz, Glawnycza",4,,
246,Blathnicza,4,,
247,"Blathno, Remethinczy, Lwka",4,,
248,"Blathno, Remethinczy, Lwka*",4,,
249,Blathnycza,4,BLATNICA,
250,Blatnycza,4,BLATNICA,
251,Blatthnycza,4,BLATNICA,
252,Blattnycza,4,BLATNICA,
253,Blizna,4,BLIZNEC,
254,Bliznafew,1,,
255,Blyzna,4,BLIZNEC,
256,Blyzna sub Medwedwar,4,BLIZNEC,
257,Blyzna sub Medwewar,4,BLIZNEC,
258,"Blyzna, Remethyncz",4,"BLIZNEC,",1
259,Blyznafew,1,,
260,Blyznaffew,1,,
261,Blyzno,4,BLIZNEC,
262,Blyzno (Medwe),4,BLIZNEC,
263,Bobinschyna,1,,
264,Bobonycza,4,BOBOVICA,
265,Bobouycza,4,BOBOVICA,
266,Bobowycha ad Mokrycham,4,BOBOVICA,
267,Bobowycza,4,BOBOVICA,
268,Bobowycza ad Mokrycza,4,BOBOVICA,
269,Bobowycza ad Mokrycza pertinens,4,BOBOVICA,
270,Bobowycza ad Mokryczam,4,BOBOVICA,
271,Bobowycza ad Mokryzam,4,BOBOVICA,
272,"Bobowycza, Kapolna",1,"BOBOVICA, KAPELA",
273,"Bobowycza, Kapolna, Othok, Jemryhowcz",1,"BOBOVICA, KAPELA, OTOK, IMBRIOVEC",
274,Bobowycza-ad Mokryczam,4,BOBOVICA,
275,Bocyncz ad Medwe,4,,
276,Bogacheuo,1,BOGAČEVO,
277,Bogachewo,1,BOGAČEVO,
278,Bogacho,1,BOGAČEVO,
279,Bogachyewo,1,BOGAČEVO,
280,Bogatho,1,BOGAČEVO,
281,Bolch,1,BOLČ,
282,Bolcz,1,BOLČ,
283,Bolethyna,1,,
284,Bolethyno,1,,
285,Bona-Hampo,1,,
286,Bona-Johannes Alapi,4,,
287,Bona-Nicolaus Zrini,4,,
288,Bona-Nicolaus Zryny,4,,
289,Bona-Zlwny,4,,
290,Bonowk,1,,
291,Borchecz in pertinentiis Zomzedwara,4,BORČEC,
292,Borcowcz,1,BORKOVEC,
293,Borcowcz,2,BORKOVEC,
294,Borcz ad Topozka (predium),4,BORKOVEC,
295,Borkoucz,2,BORKOVEC,
296,Borkowcz,2,BORKOVEC,
297,Borowcz,1,,
298,Borowcz,2,BORKOVEC,
299,Borowe,1,,
300,Borsowcz,1,,
301,Borycheucz,2,MIRKOVEC,
302,Borychewcz,2,,
303,"Borychewcz, Marthyndoll",2,,
304,Boryzlowcz,4,,
305,Bosako,4,BOŽJAKOVINA,
306,Bosiako,4,BOŽJAKOVINA,
307,Bosiako-castrum-judicatus inferior,4,BOŽJAKOVINA,
308,Bosiako-castrum-judicatus superior,4,BOŽJAKOVINA,
309,Bosiakowyna,4,BOŽJAKOVINA,
310,Bosyako,4,BOŽJAKOVINA,
311,Bosyako cum pertinentiis,4,BOŽJAKOVINA,
312,Bosyako cum pertinentiis*,4,BOŽJAKOVINA,
313,Bosyako-castellum / Judicatus Inferior,4,BOŽJAKOVINA,
314,Bosyako-castellum / Judicatus Superior,4,BOŽJAKOVINA,
315,Bosyako-castellum cum pertinentiis,4,BOŽJAKOVINA,
316,Bosyako-castellum-judicatus inferior,4,BOŽJAKOVINA,
317,Bosyako-castellum-judicatus superior,4,BOŽJAKOVINA,
318,Bosyako-cum pertinentiis,4,BOŽJAKOVINA,
319,Bosyako-judiatus inferior,4,BOŽJAKOVINA,
320,Bosyako-judicatus superior,4,BOŽJAKOVINA,
321,Bosyako-judicatus superior et inferior,4,BOŽJAKOVINA,
322,Bosyakowyna,4,BOŽJAKOVINA,
323,Bosyakowyna-castellum*,4,BOŽJAKOVINA,
324,Bothcafeld,1,,
325,Bothezyncz,1,,
326,Bothincz,4,BOTINEC,
327,Bothkafeld,1,,
328,Bothowcz,3,,
329,Bothyncz,1,BOTINEC,
330,Bothyncz,4,BOTINEC,
331,Bothyncz ad Medwe,4,BOTINEC,
332,Bothynowcz,1,,
333,Botyncz,4,BOTINEC,
334,Boytincz,4,BOTINEC,
335,Bozyas,1,,
336,Bradechyna ad Garych,1,,
337,Bradna,1,,
338,Bradna inferior,1,,
339,Bragasoucz,1,,
340,Bragasowcz,1,,
341,Brakwnowcz,4,BROKUNJEVEC,
342,Bregchewcz,1,,
343,Bresancz ad Kaproncza,1,,
344,Breschyna,1,,
345,Bresnycha,1,,
346,Bresnycza-ad Achynam,1,,
347,Bresnycze,1,,
348,Bresowcz,1,,
349,Bresowycza,4,BREZOVICA,
350,Brestowcz,1,,
351,Brestoycha,1,,
352,Brezewcze cum pertinentiis,1,,
353,Brezoucz,1,BREZOVEC,
354,Brezowcz,1,,
355,Brezowicza,4,BREZOVICA,
356,Brezowycha,4,BREZOVICA,
357,Brezowycza,4,BREZOVICA,
358,Brezoycha-ad Nagh Kemlek,1,,
359,Brezoycza,1,,
360,Brezoycza,4,BREZOVICA,
361,Brezt,2,,
362,Brezth,4,,1
363,Brezthowcz,1,,
364,"Brezthowcz, Dechyna",1,,
365,"Brezthowcz, Dolina",1,,
366,Brezthoycza,1,,
367,Brezthye,4,,
368,Breztoycha,1,,
369,Brezyancz,3,,
370,Brezyna,1,,
371,"Brezyna, Chakowcz",1,,
372,Brezynacz,3,,
373,Brkwnowcz,4,BROKUNJOVEC,
374,Brokownyowcz,4,BROKUNJOVEC,
375,Brokunoucz,4,BROKUNJOVEC,
376,"Brokunoucz, Adamovcz",4,"BROKUNJOVEC, ADAMOVEC",
377,Brokwnowcz,4,BROKUNJOVEC,
378,"Brokwnowcz, Glawnicza",4,"BROKUNJOVEC, GLAVNICA",
379,Brokwnyowcz,4,BROKUNJOVEC,
380,"Brokwnyowcz, Glawnycza",4,"BROKUNJOVEC, GLAVNICA",
381,Brysnyak,1,,
382,Bryzthno,4,GORNJA BISTRA,
383,Budrowcz,1,,
384,"Budyndol, Pomperoucz, Hansevcz",2,"BUDINŠČINA, POMNEROVAC,",1
385,Bukovcz,1,,
386,Bwchyncz,1,,
387,Bwdislawcz,2,,
388,Bwdnak,1,,
389,Bwdowcz,1,,
390,Bwdrocz,1,,
391,Bwdrocz,3,,
392,Bwdrowcz,1,,
393,Bwdrowcz,3,,
394,Bwdyndol,2,,
395,"Bwdyndol, Hansewcz",2,,1
396,"Bwdyndol, Hansewcz, Pomperowcz",2,", POMNEROVEC",1
397,Bwdyndoll,2,,1
398,Bwdyslwcz,2,,1
399,Bwdyzlawcz,2,,1
400,"Bwdyzlawcz, Dymytrowcz",2,,1
401,"Bwkowcz, Zelyna",4,"BUKOVEC, ZELINA",
402,Bwkowschak,4,BUKOVŠĆAK,
403,Bwkowschyak,4,BUKOVŠĆAK,
404,Bwkowsthyak,4,BUKOVŠĆAK,
405,Bwkowychyak,4,BUKOVŠĆAK,
406,Bwschyncz,1,,
407,Bwsowcz,3,,
408,Bwssocz,3,,
409,Bwssowcz,3,,
410,Bwssyn,2,BUŠIN,
411,Bwsthincz,1,,
412,Bwsthyncz,1,,
413,Bwsyn,2,BUŠIN,
414,"Bwsyn, Odra",4,"BUZIN, ODRA",
415,Bwszyn,2,"BELA, IVANEC,",1
416,Bwthkafeld,1,,
417,Bwthkafelde,1,,
418,Bwthkafewlde,1,,
419,Bwthynowcz,1,,
420,Bwtkafeld,1,,
421,Bwyancz,1,,
422,Bwyanowcz,1,,
423,Bwyowcz,1,,
424,"Bwzyn, Odra",4,"BUZIN, ODRA",
425,Byenik,1,,
426,Byenyk,1,,
427,Byenyk ad Topozka (predium),4,,
428,Bygzaad,4,,1
429,Bygzad,1,BISAG,
430,Bygzad,4,,1
431,Bygzad-citra Lonyam,4,,1
432,Bykalla,1,,
433,Bykalya,1,,
434,Bykchelethincz,1,,
435,Bykczelethyncz,1,,
436,Bykszad,4,,1
437,Bykzad,1,BISAG,
438,Bykzad,4,BISAG,1
439,"Bykzad, Wychel portio",1,"BISAG, NOVO MJESTO",
440,"Bykzad, Wyhel",1,"BISAG, NOVO MJESTO",
441,Bynowcz,1,,
442,Byskupcz,4,Biškupec,
443,Byskwpch,4,Biškupec,
444,Byskwpchy,4,Biškupec,
445,Byskwpcz,2,BISKUPEC,
446,Byskwpcz,4,BIŠKUPEC,
447,Byskwpecz,2,BIŠKUPEC,
448,Byskwpecz,4,BIŠKUPEC,
449,Byskwpowcz,2,,
450,Byskwpowcz,4,,
