authority_id,canonical_name,modern_place,county_id,n_variants,n_entries,method,needs_review,lat,lon,hide_from_map
276,Chernomercz,Črnomerec,4,4,13,modern,0,45.8156371,15.9361636,0
277,Chernossowcz,,1,1,1,singleton,0,,,0
278,"Chernylewch, Thoplychycha",Toplica,4,1,2,singleton,0,45.2943011,15.9707037,0
279,Chernylno,,4,1,1,singleton,0,,,0
280,Chero berdo,Cerovo brdo,1,1,1,manual,0,46.1330556,16.5500000,0
281,Cherowoberdo,Cerovo brdo,1,1,1,manual,0,46.1330556,16.5500000,0
282,Cherwylno,Strezojevo,4,1,5,manual,1,45.5271615,16.0376546,0
283,Cherztwecz Zenth Pether,Sveti Petar Čvrstec,1,1,5,manual,0,46.0044639,16.6638832,0
284,Cheztylowcz,Čestilovec,1,3,3,manual,1,46.1780000,16.7600000,0
285,Chethertekhel,Četvrtkovac,1,1,1,manual,0,45.5833333,17.2333333,0
286,Chezmycza Zenth Iwan,,1,1,1,singleton,0,,,0
287,Cnesancz,Maglenca,1,2,3,manual,0,45.9211719,16.9320077,0
288,Chorgowcz,,2,1,4,singleton,0,,,0
289,Chowcowyna,,1,1,1,singleton,0,,,0
290,Chowkowyna,,1,1,1,singleton,0,,,0
291,Chrechancz,Črečan,4,2,2,manual,0,45.9778045,16.2604724,0
292,Chremysthe,Cremušina,1,1,1,manual,0,45.7945543,17.1937699,0
293,Chernchan ad Gemlecz,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
294,Chresnevo - Obres,Sveti Ilija,2,1,1,manual,0,46.2457297,16.3223540,0
295,Chresno,Crešnjevica,1,2,8,manual,0,45.9200074,17.1467028,0
296,Christalocz,Kreštelovac,1,7,12,manual,0,45.5765405,17.0519967,0
297,Chrysthalowcz-cum provincia et pertinentiis,Kreštelovac,1,1,1,manual,1,45.5765405,17.0519967,0
298,Chwcher,Čučerje,4,7,17,modern,0,45.8728865,16.0560140,0
299,Chwchwwachincz,,1,1,1,singleton,0,,,0
