county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Križevačka županija,334,Czerowycza Zenth Iwan- ad Zenth Gergerwara,658,Czerowycza Zenth Iwan- ad Zenth Gergerwara,1513,1
Križevačka županija,335,Czerowycza-ad Zenth Gerghwara,660,Czerowycza-ad Zenth Gerghwara,1520,1
Križevačka županija,337,Czome,663,Czome,1507,1
Križevačka županija,344,Dawch,681,Dawch,1520,1
Križevačka županija,346,Declyna,683,Declyna,1495,1
Križevačka županija,349,Dercowcz,688,Dercowcz,1512,1
Križevačka županija,354,Desowcz,693,Desowcz,1520,1
Križevačka županija,355,Deykowcz-de Waska,694,Deykowcz-de Waska,1513,1
Križevačka županija,357,Dimikowcz,696,Dimikowcz,1512,1
Križevačka županija,361,Dobochecz,701,Dobochecz,1517,1
Križevačka županija,364,Dobowyna,705,Dobowyna,1507,1
Križevačka županija,365,Dobowyo in Berzewcze,706,Dobowyo in Berzewcze,1513,1
Križevačka županija,367,Dobrachwcha,708,Dobrachwcha,1495,1
Križevačka županija,368,Dobrachwcha cum pertinentiis,709,Dobrachwcha cum pertinentiis,1495,1
Križevačka županija,377,Dolyan ad Belam,726,Dolyan ad Belam,1495,1
Križevačka županija,380,Dombrensi,737,Dombrensi,1513,1
Križevačka županija,382,"Dombro-oppidum, Gradecz",739,"Dombro-oppidum, Gradecz",1543,1
Križevačka županija,383,"Dombro-provincia, ad Sanctum Michaelem",740,"Dombro-provincia, ad Sanctum Michaelem",1520,1
Križevačka županija,386,Dragalyn ad Belam,746,Dragalyn ad Belam,1495,1
Križevačka županija,392,Dragowya-ad Achynam,755,Dragowya-ad Achynam,1517,1
Križevačka županija,393,Drakcha,759,Drakcha,1507,1
Križevačka županija,397,Drasewcz,766,Drasewcz,1513,1
Križevačka županija,398,Drasimercz,767,Drasimercz,1512,1
Križevačka županija,410,Dwbyno,790,Dwbyno,1517,1
Križevačka županija,415,Dworyancz,803,Dworyancz,1507,1
Križevačka županija,423,Dyewsewcz,825,Dyewsewcz,1513,1
Križevačka županija,437,Farcasovcz,854,Farcasovcz,1507,1
Križevačka županija,440,Farkazowcz,858,Farkazowcz,1513,1
Križevačka županija,457,Feyerkew,906,Feyerkew,1517,1
Križevačka županija,458,Feyrkew-waywodatus cum pertinentiis,907,Feyrkew-waywodatus cum pertinentiis,1495,1
Križevačka županija,465,Furmeghoch,917,Furmeghoch,1520,1
Križevačka županija,467,Fychowcz,919,Fychowcz,1495,1
Križevačka županija,468,Fyerky,920,Fyerky,1507,1
Križevačka županija,470,Fynchewcz,923,Fynchewcz,1574,1
Križevačka županija,473,Galowchecz,935,Galowchecz,1513,1
Križevačka županija,475,Garazda,937,Garazda,1495,1
Križevačka županija,507,Gorbonwkfew ad Zenth Gergwara,991,Gorbonwkfew ad Zenth Gergwara,1507,1
Križevačka županija,517,Gotaleryancz,1011,Gotaleryancz,1507,1
Križevačka županija,520,Graberiancz,1022,Graberiancz,1495,1
Križevačka županija,529,Gradchyna-ad Garych,1040,Gradchyna-ad Garych,1520,1
Križevačka županija,531,Gradysche,1044,Gradysche,1507,1
Križevačka županija,534,Gramchoucz,1049,Gramchoucz,1507,1
Križevačka županija,537,Greda,1056,Greda,1520,1
Križevačka županija,538,Gredakowcz ad Gemnecz,1057,Gredakowcz ad Gemnecz,1512,1
Križevačka županija,543,"Gregoryancz, Dorozlawcz, Camarcha",1065,"Gregoryancz, Dorozlawcz, Camarcha",1520,1
Križevačka županija,545,"Gregoryowcz, Zaywsawcz",1068,"Gregoryowcz, Zaywsawcz",1513,1
Križevačka županija,546,Gregsynch,1070,Gregsynch,1513,1
Križevačka županija,548,Gregwrowcz-ad Nagh Kemlek,1079,Gregwrowcz-ad Nagh Kemlek,1513,1
Križevačka županija,549,Grekzynchk,1082,Grekzynchk,1520,1
Križevačka županija,553,Grysnyak,1089,Grysnyak,1517,1
Križevačka županija,560,Gwdowcz-cum pertinentis,1102,Gwdowcz-cum pertinentis,1513,1
Križevačka županija,566,Gywrynowcz,1120,Gywrynowcz,1533,1
Križevačka županija,567,Habyanowcz,1121,Habyanowcz,1513,1
Križevačka županija,569,Halehosowcz,1124,Halehosowcz,1495,1
Križevačka županija,572,Haznarcz,1128,Haznarcz,1520,1
Križevačka županija,573,"Haznarcz, Turkoucz",1129,"Haznarcz, Turkoucz",1596,1
Križevačka županija,579,Hercowcz,1142,Hercowcz,1507,1
Križevačka županija,581,Herethyncz,1145,Herethyncz,1520,1
Križevačka županija,584,Heryowcz,1149,Heryowcz,1517,1
Križevačka županija,585,Herzowa,1151,Herzowa,1507,1
Križevačka županija,586,Hewiz-oppidum ad Dobrachwcha,1152,Hewiz-oppidum ad Dobrachwcha,1495,1
Križevačka županija,592,Hothnya Zenth Pal,1160,Hothnya Zenth Pal,1513,1
Križevačka županija,594,Hothowo ad Zenth Gergwara,1162,Hothowo ad Zenth Gergwara,1507,1
Križevačka županija,595,Howano ad Kapruncza,1163,Howano ad Kapruncza,1507,1
Križevačka županija,603,Hrastina,1176,Hrastina,1512,1
Križevačka županija,613,Hromkowcz,1195,Hromkowcz,1520,1
Križevačka županija,615,Hrustopecowyna,1198,Hrustopecowyna,1507,1
Križevačka županija,617,Hrwskopekowyna,1200,Hrwskopekowyna,1517,1
Križevačka županija,619,Hwethincz,1212,Hwethincz,1512,1
Križevačka županija,620,Hwywaros,1217,Hwywaros,1507,1
Križevačka županija,622,"Hwzarcz, Zenthywan",1219,"Hwzarcz, Zenthywan",1513,1
Križevačka županija,630,Inferior Opathyncz,1229,Inferior Opathyncz,1520,1
Križevačka županija,632,"Inoskowcz, Foryanowcz",1232,"Inoskowcz, Foryanowcz",1520,1
Križevačka županija,639,Iwilovcz,1257,Iwilovcz,1495,1
Križevačka županija,649,Jakowlewcz,1273,Jakowlewcz,1507,1
Križevačka županija,652,Jakwpowcz ad Belam,1282,Jakwpowcz ad Belam,1495,1
Križevačka županija,655,Jalkowcz,1289,Jalkowcz,1507,1
Križevačka županija,663,Janenowcz,1317,Janenowcz,1520,1
Križevačka županija,665,Janowcz,1319,Janowcz,1495,1
Križevačka županija,666,Japathyncz,1322,Japathyncz,1517,1
Križevačka županija,668,Jarna,1325,Jarna,1513,1
Križevačka županija,669,Jarno,1326,Jarno,1495,1
Križevačka županija,673,Jaworowcz,1332,Jaworowcz,1513,1
Križevačka županija,674,Jaworowcz ad Zenth Gergwara,1333,Jaworowcz ad Zenth Gergwara,1507,1
Križevačka županija,675,Jawowcz (Jalsowcz*),1334,Jawowcz (Jalsowcz*),1507,1
Križevačka županija,676,Jawroch,1335,Jawroch,1520,1
Križevačka županija,687,Jenderkowcz sub Garych,1381,Jenderkowcz sub Garych,1513,1
Križevačka županija,695,Kamacza,1402,Kamacza,1513,1
Križevačka županija,698,"Kamarya, Melesocz",1406,"Kamarya, Melesocz",1533,1
Križevačka županija,707,Kaptholowcz,1430,Kaptholowcz,1517,1
Križevačka županija,710,Kazmethyna,1438,Kazmethyna,1507,1
Križevačka županija,712,Kelemynoch,1440,Kelemynoch,1507,1
Križevačka županija,713,Kenchelowcz,1441,Kenchelowcz,1512,1
Križevačka županija,717,Kerhennyna-waywodatus superior,1447,Kerhennyna-waywodatus superior,1495,1
Križevačka županija,721,"Kernyn, Mathwsalowcz",1451,"Kernyn, Mathwsalowcz",1507,1
Križevačka županija,722,Kerztynoucz,1454,Kerztynoucz,1507,1
Križevačka županija,729,Klwch,1465,Klwch,1507,1
Križevačka županija,736,Knesty,1480,Knesty,1507,1
Križevačka županija,738,Knezecz,1482,Knezecz,1513,1
Križevačka županija,746,Kochycze,1494,Kochycze,1543,1
Križevačka županija,748,Kokorekowcz,1496,Kokorekowcz,1507,1
Križevačka županija,754,Komaryn,1505,Komaryn,1495,1
Križevačka županija,759,Komozowcz,1511,Komozowcz,1513,1
Križevačka županija,767,Konzka-swpanathws,1527,Konzka-swpanathws,1507,1
Križevačka županija,768,Konzka-woywodatus,1528,Konzka-woywodatus,1507,1
Križevačka županija,770,Kopakowcz,1530,Kopakowcz,1495,1
Križevačka županija,775,Kopynno,1537,Kopynno,1520,1
Križevačka županija,776,Korbawa,1538,Korbawa,1507,1
Križevačka županija,784,"Koroska, Bedowcz",1550,"Koroska, Bedowcz",1520,1
Križevačka županija,786,Korusta,1552,Korusta,1507,1
Križevačka županija,789,"Korythno, Bolch",1558,"Korythno, Bolch",1520,1
Križevačka županija,790,"Korythno,Kebel, Dymytrowcz",1559,"Korythno,Kebel, Dymytrowcz",1513,1
Križevačka županija,799,Kowachowcz,1572,Kowachowcz,1520,1
Križevačka županija,804,Kozachyna-waywodatus inferior,1577,Kozachyna-waywodatus inferior,1495,1
Križevačka županija,805,Kozachyna-waywodatus superior,1578,Kozachyna-waywodatus superior,1495,1
Križevačka županija,807,Kozolowcz,1589,Kozolowcz,1507,1
Križevačka županija,815,Krakowcz,1620,Krakowcz,1512,1
Križevačka županija,816,Kralowcz,1621,Kralowcz,1513,1
Križevačka županija,822,"Krenyn, Mathowcz",1636,"Krenyn, Mathowcz",1513,1
Križevačka županija,823,"Krenyn, Pothna M.",1637,"Krenyn, Pothna M.",1513,1
Križevačka županija,826,Krysnychicha,1641,Krysnychicha,1507,1
Križevačka županija,829,Krysthalowcz,1649,Krysthalowcz,1533,1
Križevačka županija,840,Kwskoucz,1681,Kwskoucz,1507,1
Križevačka županija,843,Kwzmowcz,1696,Kwzmowcz,1520,1
Križevačka županija,849,Kys Lownyk,1705,Kys Lownyk,1507,1
Križevačka županija,858,Lachalowcz,1720,Lachalowcz,1495,1
Križevačka županija,863,Laskaeghaz,1730,Laskaeghaz,1507,1
Križevačka županija,866,Lathkowyna,1735,Lathkowyna,1517,1
Križevačka županija,881,Lestacowcz,1771,Lestacowcz,1507,1
Križevačka županija,884,"Lestchancz, Palynowcz ad Belam",1775,"Lestchancz, Palynowcz ad Belam",1495,1
Križevačka županija,887,Lesthyan,1781,Lesthyan,1517,1
Križevačka županija,890,Libewsthycza,1793,Libewsthycza,1500,1
Križevačka županija,903,Loky,1812,Loky,1513,1
Križevačka županija,904,Lombardya,1813,Lombardya,1495,1
Križevačka županija,908,Lowchowcz,1819,Lowchowcz,1520,1
Križevačka županija,913,Luchychowcz,1824,Luchychowcz,1495,1
Križevačka županija,925,Lypsycza,1886,Lypsycza,1512,1
Križevačka županija,926,Lywbesthycza-ad Kemlek,1893,Lywbesthycza-ad Kemlek,1520,1
Križevačka županija,928,"Lywpkowcz, Zerdahel S.",1901,"Lywpkowcz, Zerdahel S.",1513,1
Križevačka županija,929,Lyzychyncz,1902,Lyzychyncz,1517,1
Križevačka županija,935,Malchewcz,1912,Malchewcz,1520,1
Križevačka županija,937,Malchewcz-de Reka,1914,Malchewcz-de Reka,1520,1
Križevačka županija,948,Maroucha,1935,Maroucha,1507,1
Križevačka županija,961,Mathewsowcz,1978,Mathewsowcz,1513,1
Križevačka županija,962,"Mathewsowcz, Zerdahel",1979,"Mathewsowcz, Zerdahel",1513,1
Križevačka županija,967,Megereche cum provincia,1998,Megereche cum provincia,1495,1
Križevačka županija,970,Megwrechye-oppidum,2004,Megwrechye-oppidum,1507,1
Križevačka županija,972,Megyerlok,2007,Megyerlok,1533,1
Križevačka županija,974,"Mellesowcz, Palychna",2013,"Mellesowcz, Palychna",1517,1
Križevačka županija,992,Mnochowcz,2041,Mnochowcz,1513,1
Križevačka županija,994,Mochrycha,2043,Mochrycha,1512,1
Križevačka županija,995,Mochw,2044,Mochw,1513,1
Križevačka županija,997,Modrowcz,2047,Modrowcz,1517,1
Križevačka županija,999,Mogoyna,2050,Mogoyna,1507,1
Križevačka županija,1001,Molwe ad Zenth Gergwara,2052,Molwe ad Zenth Gergwara,1507,1
Križevačka županija,1004,Monchewcz,2059,Monchewcz,1512,1
Križevačka županija,1010,"Mosynya, Meglecz",2070,"Mosynya, Meglecz",1513,1
Križevačka županija,1014,Mwsyna,2075,Mwsyna,1507,1
Križevačka županija,1015,"Myhalaowcz, Lypowcz",2076,"Myhalaowcz, Lypowcz",1520,1
Križevačka županija,1016,Myhalencz,2077,Myhalencz,1507,1
Križevačka županija,1017,"Myhalyownicza, Lypowcz",2081,"Myhalyownicza, Lypowcz",1513,1
Križevačka županija,1023,Mykusewcz,2103,Mykusewcz,1507,1
Križevačka županija,1025,Myndchenth,2114,Myndchenth,1513,1
Križevačka županija,1029,Myndzenth-ad Racham,2122,Myndzenth-ad Racham,1517,1
Križevačka županija,1035,Naghfalw,2150,Naghfalw,1495,1
Križevačka županija,1045,Nezethyno,2174,Nezethyno,1513,1
Križevačka županija,1046,Neznan,2175,Neznan,1495,1
Križevačka županija,1049,Nofkowcz,2184,Nofkowcz,1513,1
Križevačka županija,1053,Nova Villa sub Gemlech,2188,Nova Villa sub Gemlech,1507,1
Križevačka županija,1058,Nowak-ad Achynam,2200,Nowak-ad Achynam,1517,1
Križevačka županija,1074,Okchewcz,2241,Okchewcz,1507,1
Križevačka županija,1077,"Olywercz, Kothnak",2259,"Olywercz, Kothnak",1513,1
Križevačka županija,1083,Omnii Sancti ad Monozlo,2267,Omnii Sancti ad Monozlo,1520,1
Križevačka županija,1084,Omnii Sancti in Prodauiz,2268,Omnii Sancti in Prodauiz,1520,1
Križevačka županija,1106,"Orossowcz, Chakawcz",2330,"Orossowcz, Chakawcz",1495,1
Križevačka županija,1107,Orozowcz,2331,Orozowcz,1513,1
Križevačka županija,1113,Owar,2349,Owar,1513,1
Križevačka županija,1115,Owar-waywodatus,2352,Owar-waywodatus,1520,1
Križevačka županija,1119,"Ozwgyo, Zenthgergh",2371,"Ozwgyo, Zenthgergh",1513,1
Križevačka županija,1120,Ozwgyo-cum Zenthgeorgh,2372,Ozwgyo-cum Zenthgeorgh,1520,1
Križevačka županija,1125,"Palychna Zenthpeter, Gradysthe",2381,"Palychna Zenthpeter, Gradysthe",1513,1
Križevačka županija,1129,"Parwzowcz, Kwrenowcz, Blasowcz",2389,"Parwzowcz, Kwrenowcz, Blasowcz",1513,1
Križevačka županija,1130,Pasahegh,2391,Pasahegh,1495,1
Križevačka županija,1132,Pasthincz,2394,Pasthincz,1495,1
Križevačka županija,1134,"Paulosancz, Bresowcz",2397,"Paulosancz, Bresowcz",1520,1
Križevačka županija,1135,Pavkowcz,2399,Pavkowcz,1507,1
Križevačka županija,1137,"Pawlowcz, Palche Polye",2402,"Pawlowcz, Palche Polye",1513,1
Križevačka županija,1141,Pekercz-waywodatus medius,2408,Pekercz-waywodatus medius,1495,1
Križevačka županija,1146,Perchinowcz,2416,Perchinowcz,1495,1
Križevačka županija,1147,Perchinowcz cum Nagkemlek,2417,Perchinowcz cum Nagkemlek,1512,1
Križevačka županija,1148,"Perchynowcz, Bywrynowcz-ad Nagh Kemlek",2418,"Perchynowcz, Bywrynowcz-ad Nagh Kemlek",1513,1
Križevačka županija,1164,Petrowyna in Farkasowcz,2454,Petrowyna in Farkasowcz,1495,1
Križevačka županija,1165,Pezedolcz ad Belam,2463,Pezedolcz ad Belam,1495,1
Križevačka županija,1167,Pinchowcz,2471,Pinchowcz,1513,1
Križevačka županija,1175,Podbwkowcz,2492,Podbwkowcz,1495,1
Križevačka županija,1176,Podgaycz,2493,Podgaycz,1513,1
Križevačka županija,1181,Podgorye-de Gorbonok,2498,Podgorye-de Gorbonok,1513,1
Križevačka županija,1183,Podkraych,2500,Podkraych,1507,1
Križevačka županija,1205,Ponkowcz,2552,Ponkowcz,1517,1
Križevačka županija,1208,Popwd,2555,Popwd,1495,1
Križevačka županija,1219,Pozrednye Zelo,2571,Pozrednye Zelo,1495,1
Križevačka županija,1229,Prelezye,2589,Prelezye,1512,1
Križevačka županija,1236,Prezovicha-oppidum sub Nagkemlek,2609,Prezovicha-oppidum sub Nagkemlek,1512,1
Križevačka županija,1240,Priulaka,2613,Priulaka,1507,1
Križevačka županija,1242,Procurancia domini episcopi (Capella-villicatus),2615,Procurancia domini episcopi (Capella-villicatus),1513,1
Križevačka županija,1245,Provinica domini episcopi,2619,Provinica domini episcopi,1512,1
Križevačka županija,1250,Prykray,2627,Prykray,1513,1
Križevačka županija,1254,Pwnek,2638,Pwnek,1507,1
Križevačka županija,1262,Pylethyncz,2647,Pylethyncz,1513,1
Križevačka županija,1268,Radessych,2657,Radessych,1533,1
Križevačka županija,1269,"Radessych, Dywrynowcz-ad Kemlek",2658,"Radessych, Dywrynowcz-ad Kemlek",1520,1
Križevačka županija,1270,Radhycza Zenth Iwan,2659,Radhycza Zenth Iwan,1513,1
Križevačka županija,1280,Rakwsowcz,2680,Rakwsowcz,1507,1
Križevačka županija,1286,Ramagawelge,2698,Ramagawelge,1495,1
Križevačka županija,1287,Rampolcz,2699,Rampolcz,1495,1
Križevačka županija,1294,Rathkowelge,2711,Rathkowelge,1495,1
Križevačka županija,1299,"Ray, Chepyn",2720,"Ray, Chepyn",1495,1
Križevačka županija,1302,Razmerowcz,2723,Razmerowcz,1520,1
Križevačka županija,1303,Raznethyne,2724,Raznethyne,1513,1
Križevačka županija,1316,Regaryowecz,2746,Regaryowecz,1513,1
Križevačka županija,1320,"Reka, Malchez",2752,"Reka, Malchez",1533,1
Križevačka županija,1323,"Remethincz, Magerowcz",2755,"Remethincz, Magerowcz",1512,1
Križevačka županija,1333,"Romethincz, Garych, Solyn",2797,"Romethincz, Garych, Solyn",1495,1
Križevačka županija,1336,Rosewcz,2802,Rosewcz,1495,1
Križevačka županija,1339,Roycha,2807,Roycha,1507,1
Križevačka županija,1347,"Sabnycza, Mindchenth",2823,"Sabnycza, Mindchenth",1513,1
Križevačka županija,1348,"Sabnycza,Bablyak, Czyrquena",2824,"Sabnycza,Bablyak, Czyrquena",1520,1
Križevačka županija,1352,Salgo,2828,Salgo,1495,1
Križevačka županija,1356,Sancta Anna (Wragoucz),2836,Sancta Anna (Wragoucz),1507,1
Križevačka županija,1360,Sancta Katharina,2840,Sancta Katharina,1513,1
Križevačka županija,1363,Sancte Anna,2843,Sancte Anna,1517,1
Križevačka županija,1366,Sancti Cosme,2846,Sancti Cosme,1543,1
Križevačka županija,1367,Sancti Cosme-ad Achynam,2847,Sancti Cosme-ad Achynam,1517,1
Križevačka županija,1368,Sancti Georgius-in Hemowcz,2848,Sancti Georgius-in Hemowcz,1520,1
Križevačka županija,1369,Sancti Martini-ad Zalathnok,2849,Sancti Martini-ad Zalathnok,1517,1
Križevačka županija,1371,Sanctus Benedictus,2851,Sanctus Benedictus,1520,1
Križevačka županija,1372,Sanctus Cosma,2852,Sanctus Cosma,1520,1
Križevačka županija,1374,Sanctus Dominicus,2854,Sanctus Dominicus,1520,1
Križevačka županija,1375,Sanctus Johannes in Prodawiz,2855,Sanctus Johannes in Prodawiz,1520,1
Križevačka županija,1378,Saranowcz,2858,Saranowcz,1507,1
Križevačka županija,1380,Satran,2870,Satran,1495,1
Križevačka županija,1390,Selynok,2907,Selynok,1507,1
Križevačka županija,1400,Slywercz,2925,Slywercz,1520,1
Križevačka županija,1405,Sosen,2932,Sosen,1495,1
Križevačka županija,1406,Spanicz,2936,Spanicz,1512,1
Križevačka županija,1411,Stholnikowcz,2945,Stholnikowcz,1512,1
Križevačka županija,1413,Supa,2949,Supa,1512,1
Križevačka županija,1414,Supancz,2950,Supancz,1513,1
Križevačka županija,1416,Swkowcz,2954,Swkowcz,1507,1
Križevačka županija,1418,Swpancz ad Zenth Gergwara,2956,Swpancz ad Zenth Gergwara,1507,1
Križevačka županija,1420,Swystowcz,2958,Swystowcz,1495,1
Križevačka županija,1422,"Sybrynocz, Jalsovcz",2960,"Sybrynocz, Jalsovcz",1507,1
Križevačka županija,1426,Symwchowcz,2973,Symwchowcz,1513,1
Križevačka županija,1427,Synchewcz,2977,Synchewcz,1573,1
Križevačka županija,1429,Syprak,2979,Syprak,1507,1
Križevačka županija,1437,"Temerye, Mylethyncz",3002,"Temerye, Mylethyncz",1513,1
Križevačka županija,1438,Terbennye,3003,Terbennye,1495,1
Križevačka županija,1439,"Terbyne, Lokawecz",3004,"Terbyne, Lokawecz",1507,1
Križevačka županija,1442,Tesnahege,3009,Tesnahege,1495,1
Križevačka županija,1451,Themennycze,3026,Themennycze,1495,1
Križevačka županija,1453,"Themerye, Zdenchan",3028,"Themerye, Zdenchan",1513,1
Križevačka županija,1454,"Themerye, Zenth Iwan",3029,"Themerye, Zenth Iwan",1507,1
Križevačka županija,1456,"Themeryen,Cherarocz",3031,"Themeryen,Cherarocz",1520,1
Križevačka županija,1458,Therchech,3034,Therchech,1517,1
Križevačka županija,1459,Therchyan,3035,Therchyan,1517,1
Križevačka županija,1460,Thermchan ad Gemlech,3036,Thermchan ad Gemlech,1507,1
Križevačka županija,1461,Thernawa,3037,Thernawa,1495,1
Križevačka županija,1467,Therschan,3050,Therschan,1495,1
Križevačka županija,1469,Thersthyan,3052,Thersthyan,1507,1
Križevačka županija,1482,Thorchecz,3073,Thorchecz,1507,1
Križevačka županija,1483,Thornava,3074,Thornava,1507,1
Križevačka županija,1496,Thwrcoucz,3091,Thwrcoucz,1507,1
Križevačka županija,1497,Thwrkowcz,3092,Thwrkowcz,1507,1
Križevačka županija,1501,Trachyncz,3101,Trachyncz,1517,1
Križevačka županija,1502,Trachyncz-ad Achyna,3102,Trachyncz-ad Achyna,1517,1
Križevačka županija,1504,Trambeth,3108,Trambeth,1513,1
Križevačka županija,1505,Tremlan,3111,Tremlan,1507,1
Križevačka županija,1508,Twtwsewyna inferior,3121,Twtwsewyna inferior,1495,1
Križevačka županija,1509,Twtwsewyna superior,3122,Twtwsewyna superior,1495,1
Križevačka županija,1510,Tzemerye (Themerye?),3123,Tzemerye (Themerye?),1507,1
Križevačka županija,1517,Versynowcz in Berzewcze,3139,Versynowcz in Berzewcze,1513,1
Križevačka županija,1525,Vokachincz,3149,Vokachincz,1495,1
Križevačka županija,1538,Wahtaryowcz ad Belam,3176,Wahtaryowcz ad Belam,1495,1
Križevačka županija,1539,Wakegh,3177,Wakegh,1517,1
Križevačka županija,1543,Waska Inferior,3187,Waska Inferior,1513,1
Križevačka županija,1544,"Waska Inferior, Dytrowcz",3188,"Waska Inferior, Dytrowcz",1517,1
Križevačka županija,1546,Waska-ad Zagyowcz,3190,Waska-ad Zagyowcz,1513,1
Križevačka županija,1548,Wasmegywrechye predium,3192,Wasmegywrechye predium,1517,1
Križevačka županija,1550,Wehthocz,3201,Wehthocz,1517,1
Križevačka županija,1559,Werh,3228,Werh,1520,1
Križevačka županija,1560,"Werh, Zerdahel",3229,"Werh, Zerdahel",1520,1
Križevačka županija,1561,Werhancz,3230,Werhancz,1507,1
Križevačka županija,1565,Werthlyn ad Monozlo,3238,Werthlyn ad Monozlo,1520,1
Križevačka županija,1567,Werzynowcz,3241,Werzynowcz,1517,1
Križevačka županija,1568,Wethech,3242,Wethech,1517,1
Križevačka županija,1582,Wolywercz,3312,Wolywercz,1495,1
Križevačka županija,1583,"Wolywercz, Kothenyak",3313,"Wolywercz, Kothenyak",1507,1
Križevačka županija,1597,Wyeghaz,3360,Wyeghaz,1507,1
Križevačka županija,1605,Yeresyn,3392,Yeresyn,1507,1
Križevačka županija,1618,Zagyocza,3417,Zagyocza,1517,1
Križevačka županija,1627,Zanyenowcz,3444,Zanyenowcz,1513,1
Križevačka županija,1630,Zawamelleke ad Monozlo,3448,Zawamelleke ad Monozlo,1513,1
Križevačka županija,1636,"Zdenchan, Thamadocz",3464,"Zdenchan, Thamadocz",1520,1
Križevačka županija,1639,Zdenchych ad Owar,3467,Zdenchych ad Owar,1520,1
Križevačka županija,1641,Zebencz,3469,Zebencz,1507,1
Križevačka županija,1656,"Zelyancz, Sybrynowcz",3497,"Zelyancz, Sybrynowcz",1520,1
Križevačka županija,1658,Zemche Zenth Myhal,3506,Zemche Zenth Myhal,1507,1
Križevačka županija,1662,Zenclara,3512,Zenclara,1513,1
Križevačka županija,1663,Zendywan,3513,Zendywan,1513,1
Križevačka županija,1670,Zenth Adrian,3523,Zenth Adrian,1495,1
Križevačka županija,1672,Zenth Anna,3525,Zenth Anna,1495,1
Križevačka županija,1682,Zenth Kerest / Sanctus Crux,3563,Zenth Kerest / Sanctus Crux,1513,1
Križevačka županija,1684,Zenth Kerezth-de Achyna,3566,Zenth Kerezth-de Achyna,1517,1
Križevačka županija,1687,Zenth Leryncz-pertinencie ad,3570,Zenth Leryncz-pertinencie ad,1513,1
Križevačka županija,1689,Zenth Marco,3573,Zenth Marco,1507,1
Križevačka županija,1693,Zenth Michael,3578,Zenth Michael,1495,1
Križevačka županija,1700,Zenth Pal ad Zenth Gergwara,3590,Zenth Pal ad Zenth Gergwara,1507,1
Križevačka županija,1707,Zenthlaczlo Dyanfeldi,3618,Zenthlaczlo Dyanfeldi,1495,1
Križevačka županija,1710,Zenthlelek-cum pertinentiis,3621,Zenthlelek-cum pertinentiis,1533,1
Križevačka županija,1711,"Zenthpal-provincia superior, inferior",3641,"Zenthpal-provincia superior, inferior",1495,1
Križevačka županija,1712,Zenthpeter ad Owar,3642,Zenthpeter ad Owar,1520,1
Križevačka županija,1713,Zenthpether ad Kaproncza,3643,Zenthpether ad Kaproncza,1513,1
Križevačka županija,1718,Zeredyscha ad Zenth Gergwara,3661,Zeredyscha ad Zenth Gergwara,1507,1
Križevačka županija,1719,Zersyncz,3663,Zersyncz,1507,1
Križevačka županija,1726,Zlanya,3684,Zlanya,1507,1
Križevačka županija,1733,Zlawstina,3707,Zlawstina,1512,1
Križevačka županija,1735,Zlayno,3709,Zlayno,1495,1
Križevačka županija,1737,"Zlobochyna, Zwybowcz",3712,"Zlobochyna, Zwybowcz",1507,1
Križevačka županija,1739,Zloboda ad Monozlo,3714,Zloboda ad Monozlo,1520,1
Križevačka županija,1742,Zobkethyncz,3717,Zobkethyncz,1517,1
Križevačka županija,1743,Zolkethyncz,3720,Zolkethyncz,1507,1
Križevačka županija,1744,Zolnya,3721,Zolnya,1507,1
Križevačka županija,1754,Zopya,3758,Zopya,1513,1
Križevačka županija,1759,Zredistha,3766,Zredistha,1520,1
Križevačka županija,1761,Zrednyawez,3769,Zrednyawez,1520,1
Križevačka županija,1764,Zrewsowcz,3776,Zrewsowcz,1507,1
Križevačka županija,1765,Zromercz,3777,Zromercz,1512,1
Križevačka županija,1766,Zrwkowcz,3778,Zrwkowcz,1517,1
Križevačka županija,1772,Ztharsa,3790,Ztharsa,1507,1
Križevačka županija,1777,Ztholnycoucz,3795,Ztholnycoucz,1507,1
Križevačka županija,1783,Ztrwga ad Zenth Gergwara,3815,Ztrwga ad Zenth Gergwara,1507,1
Križevačka županija,1790,Zwhodol,3830,Zwhodol,1495,1
Križevačka županija,1794,Zwsycza ad Zenth Gergwara,3838,Zwsycza ad Zenth Gergwara,1507,1
Križevačka županija,1795,Zwsycze,3839,Zwsycze,1507,1
Križevačka županija,1797,Zwybowcz,3841,Zwybowcz,1543,1
Križevačka županija,1805,"Zyrch, Podgorye",3855,"Zyrch, Podgorye",1533,1
Križevačka županija,1806,Zyskan,3856,Zyskan,1520,1
Varaždinska županija,1,",,,owcz",1,",,,owcz",1507,1
Varaždinska županija,83,Belkolcz,164,Belkolcz,1513,1
Varaždinska županija,199,"Bwdyzlawcz, Dymytrowcz",400,"Bwdyzlawcz, Dymytrowcz",1596,1
Varaždinska županija,243,Chelowechky,503,Chelowechky,1513,1
Varaždinska županija,254,"Cheresnyo, Wydowcz",520,"Cheresnyo, Wydowcz",1543,1
Varaždinska županija,280,"Chresnevo, Obres",567,"Chresnevo, Obres",1507,1
Varaždinska županija,316,Crassulcz,617,Crassulcz,1513,1
Varaždinska županija,332,"Czebowcz, Kos",651,"Czebowcz, Kos",1596,1
Varaždinska županija,371,Dobrawycza,714,Dobrawycza,1596,1
