county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Križevačka županija,1673,Zenth Benedek,3527 3528 3596,Zenth Benedek | Zenth Benedyk | Zenthbenedek,"1507, 1513, 1517",4
Križevačka županija,1675,Zenth Demetrius,3538,Zenth Demetrius,"1507, 1517",4
Križevačka županija,1690,Zenthmargith,3574 3629,Zenth Marghyth | Zenthmargith,"1507, 1517",4
Križevačka županija,1732,Zlawschyna,3698 3705 3706,Zlawchyna | Zlawschina | Zlawschyna,"1495, 1513, 1520, 1533",4
Križevačka županija,1734,Zlayna,3708,Zlayna,"1513, 1520",4
Križevačka županija,1762,Zredysche,3770 3771,Zredysche | Zredyscze,"1507, 1513, 1520",4
Križevačka županija,1800,Zylagh,3846 3849,Zylag | Zylagh,"1507, 1513, 1517",4
Križevačka županija,1802,Zylag-wayvodatus,3848 3851,Zylag-wayvodatus | Zylagh-waywodatus,"1507, 1513",4
Varaždinska županija,198,Bwdyzlawcz,399,Bwdyzlawcz,"1553, 1554, 1567, 1568",4
Varaždinska županija,275,Chorgowcz,560,Chorgowcz,"1553, 1570",4
Varaždinska županija,512,"Gorychan, Zbelye",997,"Gorychan, Zbelye",1543,4
Virovitička županija,156,Bothowcz,328,Bothowcz,"1513, 1517, 1520",4
Virovitička županija,180,Brezyancz,369 372,Brezyancz | Brezynacz,"1507, 1513, 1517, 1520",4
Virovitička županija,194,Bwdrowcz,391 393,Bwdrocz | Bwdrowcz,"1507, 1513, 1517, 1520",4
Virovitička županija,762,Konthoch Zenthpeter,1516 1523,Konthoch Zenthpeter | Konthowcz Zenthpeter,"1507, 1513, 1517, 1520",4
Virovitička županija,763,Konthocz Zenthmyklos,1517 1518 1521 1522,Konthocz Zenth Miklos | Konthocz Zenthmyklos | Konthowcz Zenth Myklos | Konthowcz Zenthmyklos,"1507, 1513, 1517, 1520",4
Virovitička županija,765,Konthowcz cum pertinentiis,1520 1524 1525,Konthowcz -cum pertinentiis | Konthowcz cum pertinentiis | Konthowcz-cum pertinentiis,"1507, 1513, 1517, 1520",4
Virovitička županija,1104,Oresya,2327,Oresya,"1507, 1513, 1517, 1520",4
Virovitička županija,1216,Powsyncz,2565 2567,Powsynch | Powsyncz,"1507, 1513, 1517",4
Virovitička županija,1573,"Wlachin, Rawennyk",3268 3269 3271,"Wlachin, Rawenik | Wlachin, Rawennyk | Wlachyn, Rawennyk","1513, 1517, 1520",4
Zagrebačka županija,68,Bedwdnycze,134,Bedwdnycze,1520,4
Zagrebačka županija,214,Bykszad,436,Bykszad,"1574, 1576",4
Zagrebačka županija,605,Hrastowicze-castrum cum pertinentiis,1179 1181 1186 1187,Hrastowicze-castrum cum pertinentiis | Hrazthowycze-castrum cum pertinentiis | Hraztowycza-castrum cum pertinentiis | Hraztowycze-castrum cum pertinentiis,"1570, 1573, 1576, 1579",4
Zagrebačka županija,934,Mahowcz,1910,Mahowcz,1509,4
Zagrebačka županija,1031,Nagh Gara,2138 2140,Nag Gara | Nagh Gara,"1509, 1517, 1520",4
Zagrebačka županija,1059,Nowakowcz,2201 2202,Nowakowcz | Nowakowecz,"1509, 1517, 1520, 1533",4
Zagrebačka županija,1468,Thersich,3051 3053,Thersich | Thersych,"1553, 1554, 1566, 1567",4
Križevačka županija,18,Also Jalsewycza,29,Also Jalsewycza,"1507, 1513, 1517",3
Križevačka županija,41,Bachyn,91,Bachyn,"1495, 1507, 1517",3
Križevačka županija,114,Bezchyanowcz,224,Bezchyanowcz,1517,3
Križevačka županija,120,Blacha,231,Blacha,"1513, 1520",3
Križevačka županija,169,Bresowcz,348 350,Bresowcz | Brestowcz,"1495, 1520",3
Križevačka županija,181,Brezyna,370,Brezyna,"1495, 1507, 1517",3
Križevačka županija,216,Bynowcz,441,Bynowcz,"1507, 1513, 1517",3
Križevačka županija,242,Czekno,502 652,Chekno | Czekno,"1495, 1507",3
Križevačka županija,244,Chelycze,504 505 653,Chelychye | Chelycze | Czelyche,"1507, 1513, 1517",3
Križevačka županija,251,Cherchan ad Gemlech,516 525 566,Cherchan ad Gemlech | Chernchan ad Gemlecz | Chrenchan ad Gemnecz,"1512, 1513, 1520",3
Križevačka županija,274,Cnesancz,559 599,Chnesancz | Cnesancz,"1495, 1507",3
Križevačka županija,301,Copathowcz,601,Copathowcz,1507,3
Križevačka županija,317,Crawaryna,618,Crawaryna,1495,3
Križevačka županija,343,Dorozlo Bakwa,680 744,Darozlo Bakwa | Dorozlo Bakwa,"1507, 1513, 1517",3
Križevačka županija,366,Dobra Kuchya,707 710,Dobra Kuchya | Dobrakuchya,1507,3
Križevačka županija,372,Dobrokychya,715,Dobrokychya,1517,3
Križevačka županija,384,Donadowcz,741 742,Donadoucz | Donadowcz,"1507, 1512, 1513",3
Križevačka županija,395,Drascha ad Gemlech,761 762 764,Drascha ad Gemenecz | Drascha ad Gemlech | Draschyna ad Gemlecz,"1512, 1513, 1520",3
Križevačka županija,399,Drawamelleke,771 772,Drawamelleke | Drawamelleky,"1495, 1507",3
Križevačka županija,436,Fabyanchewcz,851,Fabyanchewcz,"1507, 1512",3
Križevačka županija,439,Farkasowcz,856 857,Farkasowcz | Farkassowcz,"1512, 1517, 1520",3
Križevačka županija,459,Filyphfalwa,908 922 2469,Filyphfalwa | Fylippfalwa | Philipfalwa,"1507, 1513, 1517",3
Križevačka županija,464,Foryanowcz,916,Foryanowcz,"1507, 1512, 1513",3
Križevačka županija,478,Garyghnycze,940 941,Garyghnycze | Garygnycza,"1517, 1533",3
Križevačka županija,491,Gerwasowcz,957,Gerwasowcz,"1495, 1513, 1520",3
Križevačka županija,492,Gerzencze,958,Gerzencze,"1507, 1517",3
Križevačka županija,500,"Glokosowcz, Mylethynch",976,"Glokosowcz, Mylethynch",1520,3
Križevačka županija,550,Grexyncz,1083 1084,Grexincz | Grexyncz,"1495, 1507",3
Križevačka županija,570,Hathko,1125 1127,Hathko | Hatko,"1495, 1507",3
Križevačka županija,576,Herbothowcz,1135 1136 1141,Herbolthoucz | Herbolthowcz | Herbothowcz,"1507, 1513, 1520",3
Križevačka županija,577,Herbolthya,1137 1138,Herbolthya | Herbolthyo,"1507, 1513",3
Križevačka županija,580,Heresyncz,1143 1144 1150,Heressyncz | Heresyncz | Herysynch,"1507, 1513, 1517",3
Križevačka županija,601,Hrasthan,1174,Hrasthan,1520,3
Križevačka županija,635,Isanowcz,1238,Isanowcz,"1507, 1520",3
Križevačka županija,670,Jarosyna,1327 1328,Jarosin | Jarosyna,"1495, 1513",3
Križevačka županija,697,Kamarya,1405,Kamarya,"1495, 1507, 1517",3
Križevačka županija,699,Kamechecz-ad Nagh Kemlek,1407 1410 1411,Kamechecz-ad Nagh Kemlek | Kamechnycza ad Nagkemlek | Kamechnycza-ad Nagh Kemlek,"1512, 1513, 1520",3
Križevačka županija,716,Kerhennyna,1446,Kerhennyna,1495,3
Križevačka županija,734,Knesancz,1476 1479,Knesancz | Knessancz,"1507, 1513, 1517",3
Križevačka županija,760,Konczka,1512,Konczka,1520,3
Križevačka županija,764,Konthowcz,1519,Konthowcz,"1513, 1517",3
Križevačka županija,774,Kwpozoucz,1536 1671,Kopozowcz | Kwpozoucz,"1507, 1513",3
Križevačka županija,806,Kozak,1579,Kozak,"1512, 1513, 1520",3
Križevačka županija,915,Lwbewschycza,1833 1834,Lwbeschycza | Lwbewschycza,"1495, 1507, 1533",3
Križevačka županija,916,Lwchan,1837,Lwchan,"1507, 1512",3
Križevačka županija,920,Lyplan,1870 1871,Lyplan | Lyplyan,"1512, 1513, 1520",3
Križevačka županija,963,Mathwch,1980,Mathwch,1520,3
Križevačka županija,965,Mechenycze,1984 2011,Mechenycze | Mekchenycze,"1495, 1507, 1517",3
Križevačka županija,986,Mislenincz,2033 2137,Mislenincz | Myslenynch,"1512, 1513",3
Križevačka županija,1000,Mokrycza,2051,Mokrycza,"1507, 1513, 1520",3
Križevačka županija,1043,Nesethyno,2171,Nesethyno,"1507, 1517",3
Križevačka županija,1060,Obchewcz,2212 2213,Obchewch | Obchewcz,"1512, 1513, 1520",3
Križevačka županija,1062,Obranowcz Zenthmichael,2216,Obranowcz Zenthmichael,1495,3
Križevačka županija,1128,Parwsowcz ad Belam,2388,Parwsowcz ad Belam,1495,3
Križevačka županija,1131,Paschyncz,2392 2393,Paschyn | Paschyncz,"1507, 1513, 1517",3
Križevačka županija,1139,Pekercz,2406,Pekercz,"1495, 1507",3
Križevačka županija,1140,Peklencze-waywodatus inferior,2407 2412,Pekercz-waywodatus inferior | Peklencze-waywodatus inferior,1495,3
Križevačka županija,1143,Pekerzerdahel,2410,Pekerzerdahel,1495,3
Križevačka županija,1144,Peklenycze,2411 2414,Peklencze | Peklenycze,"1495, 1507, 1517",3
Križevačka županija,1179,Podgorya-ad Zenthlelek,2496,Podgorya-ad Zenthlelek,1517,3
Križevačka županija,1201,Polosythycza,2544,Polosythycza,"1495, 1507, 1517",3
Križevačka županija,1210,Posahecz,2557,Posahecz,1513,3
Križevačka županija,1223,Prastowcz,2579 2580 2581,Prasthowcz | Prasthyowcz* | Prastowcz,"1500, 1512, 1520",3
Križevačka županija,1239,Pristawcz,2612 2631,Pristawcz | Prystawcz,"1495, 1512",3
Križevačka županija,1246,Prwgowcz,2620,Prwgowcz,"1507, 1517",3
Križevačka županija,1248,Prychrethye,2622,Prychrethye,"1507, 1513, 1517",3
Križevačka županija,1289,Rassa,2701,Rassa,1507,3
Križevačka županija,1312,Reche,2740,Reche,1520,3
Križevačka županija,1321,Remethe,2753,Remethe,"1507, 1513, 1517",3
Križevačka županija,1328,Rewche,2769,Rewche,1543,3
Križevačka županija,1329,Rogaryewcz,2773 2774,Rogaryewcz | Rogaryowcz,"1507, 1512, 1520",3
Križevačka županija,1337,Rosoncz,2803,Rosoncz,"1507, 1513, 1517",3
Križevačka županija,1340,Royche,2808,Royche,1513,3
Križevačka županija,1351,Salethyncz,2827,Salethyncz,"1507, 1513, 1517",3
Križevačka županija,1376,Sanctus Nicolaus,2856,Sanctus Nicolaus,"1512, 1513, 1520",3
Križevačka županija,1377,Sanctus Stephanus,2857,Sanctus Stephanus,"1512, 1513, 1520",3
Križevačka županija,1417,Swmechecz,2955,Swmechecz,"1512, 1513, 1520",3
Križevačka županija,1472,Therzthenycze,3056 3057,Therzthenycze | Thezthenycze,"1495, 1507, 1517",3
Križevačka županija,1493,Twlowa,3088 3119,Thwlowa | Twlowa,"1495, 1513, 1520",3
Križevačka županija,1500,Thybonyncz,3096,Thybonyncz,"1507, 1513, 1517",3
Križevačka županija,1519,Wydyncz,3142 3359,Vidincz | Wydyncz,"1512, 1513, 1520",3
Križevačka županija,1542,Waska,3186,Waska,"1507, 1513, 1517",3
Križevačka županija,1545,Waska Zygeth,3189,Waska Zygeth,"1507, 1513, 1517",3
Križevačka županija,1547,Wasmegywrechye,3191,Wasmegywrechye,1517,3
