county,query,lat,lon,display_name,source
1,KUZMINEC,46.2369918,16.7567560,"Kuzminec, Općina Rasinja, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KUĆE,45.6761398,16.1423026,"Kuče, Grad Velika Gorica, Zagrebačka županija, 10419, Hrvatska",nominatim
1,LIPOVEC,46.1346564,16.8673583,"Lipovec, Štaglinec, Grad Koprivnica, Koprivničko-križevačka županija, Hrvatska",nominatim
1,LOVREČINA,,,,nominatim
1,LUBINOVEC,,,,nominatim
1,LUDBREG,46.2495239,16.6180913,"Ludbreg, Grad Ludbreg, Varaždinska županija, 42230, Hrvatska",nominatim
1,LUKA,45.8765214,16.3806102,"Luka, Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,LUKAVEC,46.2429235,16.2152939,"Lukavec, Grad Ivanec, Varaždinska županija, 42242, Hrvatska",nominatim
1,LUPOGLAV,45.7970952,16.3404828,"Lupoglav, Općina Brckovljani, Zagrebačka županija, Hrvatska",nominatim
1,MARKOVAC,45.9193334,16.8742369,"Trojstveni Markovac, Grad Bjelovar, Bjelovarsko-bilogorska županija, Hrvatska",nominatim
1,MEĐA,46.0505204,16.4656877,"Međa, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,MIHOLEC,46.0545405,16.4462061,"Miholec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, 48267, Hrvatska",nominatim
1,MIHOLJEC,,,,nominatim
1,MIKOVEC,46.0879775,16.4765791,"Mikovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,MIČEVEC,45.7529444,16.0531946,"Mičevec, Grad Velika Gorica, Zagrebačka županija, Hrvatska",nominatim
1,MLAKA,45.9088110,16.2907767,"Mlaka, Općina Rakovec, Zagrebačka županija, 10347, Hrvatska",nominatim
1,NOVAKI,45.8469164,16.5578347,"Novaki, Općina Dubrava, Zagrebačka županija, Hrvatska",nominatim
1,NOVO MJESTO,45.9534304,16.2891326,"Novo Mjesto, Grad Sveti Ivan Zelina, Zagrebačka županija, Hrvatska",nominatim
