place_id,group_key,canonical_name,modern_place,needs_review
3103,tracostian,Tracostyan,Trakošćan
3157,vrbanovc,Vrbanowcz,Vrbanovec
3161,vrbovc,Vrbowcz,Vrbovec
3186,vaska,Waska,Vaška
3237,vertlin,Wertlyn,Vrtlinska
3239,vertlin,Wertlyn,Vrtlinska
3468,zdenc,Zdencz,Zdenci
3527,zentbenedek,Zenth Benedek,Babinac
3528,zentbenedek,Zenth Benedek,Babinac
3596,zentbenedek,Zenth Benedek,Babinac
3620,zentlelek,Zenthlelek,Duhovi
480,cerztvec,Cherztwecz,Čvrstec
543,cerztvec,Cherztwecz,Čvrstec
544,cerztvec,Cherztwecz,Čvrstec
546,cerztvec,Cherztwecz,Čvrstec
547,cerztvec,Cherztwecz,Čvrstec
548,cerztvec,Cherztwecz,Čvrstec
549,cerztveczentpeter,Cherztwecz Zenth Pether,Sveti Petar Čvrstec
550,cerztvec,Cherztwecz,Čvrstec
553,cerztvec,Cherztwecz,Čvrstec
557,cerztvec,Cherztwecz,Čvrstec
570,cerztvec,Cherztwecz,Čvrstec
662,cerztvec,Cherztwecz,Čvrstec
1045,gragena,Gragena,Vojakovac
1046,gragena,Gragena,Vojakovac
1047,gragena,Gragena,Vojakovac
1174,hrastan,Hrasthan,Hršćani
1441,kencelovc,Kenchelowcz,Kenđelovec
2369,ozvgo,Ozwgo,Osuđevo
2370,ozvgo,Ozwgo,Osuđevo
2808,roice,Royche,Rovišće
88,babinscina,Babynschyna,Babinac Ivanski
263,babinscina,Babynschyna,Babinac Ivanski
150,belovarc,Belowarcz,Bjelovar
169,belovarc,Belowarcz,Bjelovar
170,belovarc,Belowarcz,Bjelovar
171,belovarc,Belowarcz,Bjelovar
154,belc,Belcz,Bolč
208,berscanovc,Berschanowcz,Bršljanica
299,borove,Borowe,Borovljani
325,botezinc,Bothezyncz,Botinac
329,botinc,Bothyncz,Botinac
342,bregcevc,Bregchewcz,Brčevec
348,bresovc,Bresowcz,Breza
350,bresovc,Bresowcz,Breza
411,bvstinc,Bwsthincz,Bušić
412,bvstinc,Bwsthincz,Bušić
425,bienik,Byenyk,Pobjenik
426,bienik,Byenyk,Pobjenik
469,camarca,Camarcha,Novigrad Podravski
475,capalovc,Chapalowcz,Čepelovac
489,capalovc,Chapalowcz,Čepelovac
490,capalovc,Chapalowcz,Čepelovac
500,cebenovc,Chebenowcz,Cepidlak
506,cemernica,Chemernicha,Čemernica Lonjska
507,cemernica,Chemernicha,Čemernica Lonjska
508,cemernica,Chemernicha,Čemernica Lonjska
524,cernareka,Chernareka,Hercegovac
565,cremiste,Chremysthe,Cremušina
568,cresno,Chresno,Crešnjevica
569,cresno,Chresno,Crešnjevica
580,cvtenia,Chwthenya,Kutina
585,ciglana,Chyglana,Mala Ciglena
601,copatovc,Copathowcz,Gornja Kovačica
604,coren,Coren,Korenovo
606,coroska,Coroska,Koruška
683,declina,Declyna,Diklenica
688,dercovc,Dercowcz,Dereza Čazmanska
689,derkovc,Derkowcz,Dereza Čazmanska
741,donadovc,Donadowcz,Tomodowcz
742,donadovc,Donadowcz,Tomodowcz
767,drasimerc,Drasimercz,Draganec
822,dianfelde,Dyanfelde,Dijankovec
823,dianfelde,Dyanfelde,Dijankovec
824,dianfelde,Dyanfelde,Dijankovec
871,felsevgerzence,Felsew Gerzencze,Gračenica
